,mixed,near_end,far_end1,far_end2,mixed_path,near_end_path,far_end1_path,far_end2_path,near_end_loc,far_end_loc1,far_end_loc2,mic_loc1,room_dim,sample_freq,room_max_order,room_absorption
17,18.wav,FAEM0_4.wav,MGAF0_2.wav,MREE0_1.wav,./data/mixed/18.wav,./data/near_end/FAEM0_4.wav,./data/far_end/MGAF0_2.wav,./data/far_end/MREE0_1.wav,"[12, 5, 2]","[1, 6, 1]","[11, 9, 3]","[1, 9, 4]","[15, 10, 5]",16000,3,0.2
18,19.wav,FAEM0_4.wav,MRJM1_3.wav,MRTC0_3.wav,./data/mixed/19.wav,./data/near_end/FAEM0_4.wav,./data/far_end/MRJM1_3.wav,./data/far_end/MRTC0_3.wav,"[13, 4, 3]","[6, 5, 3]","[13, 3, 2]","[10, 1, 3]","[15, 10, 5]",16000,3,0.2
19,20.wav,FAEM0_4.wav,MKLN0_2.wav,MFRM0_2.wav,./data/mixed/20.wav,./data/near_end/FAEM0_4.wav,./data/far_end/MKLN0_2.wav,./data/far_end/MFRM0_2.wav,"[2, 9, 3]","[4, 10, 1]","[11, 10, 4]","[13, 4, 2]","[15, 10, 5]",16000,3,0.2
20,21.wav,FAEM0_5.wav,MSVS0_4.wav,FPAC0_4.wav,./data/mixed/21.wav,./data/near_end/FAEM0_5.wav,./data/far_end/MSVS0_4.wav,./data/far_end/FPAC0_4.wav,"[10, 10, 4]","[7, 7, 4]","[12, 10, 3]","[14, 2, 1]","[15, 10, 5]",16000,3,0.2
21,22.wav,FAEM0_5.wav,MCEW0_2.wav,FSMS1_1.wav,./data/mixed/22.wav,./data/near_end/FAEM0_5.wav,./data/far_end/MCEW0_2.wav,./data/far_end/FSMS1_1.wav,"[9, 2, 3]","[7, 8, 2]","[4, 10, 2]","[10, 7, 3]","[15, 10, 5]",16000,3,0.2
22,23.wav,FAEM0_5.wav,MKAG0_3.wav,MDPS0_3.wav,./data/mixed/23.wav,./data/near_end/FAEM0_5.wav,./data/far_end/MKAG0_3.wav,./data/far_end/MDPS0_3.wav,"[12, 2, 5]","[11, 7, 2]","[2, 4, 5]","[4, 10, 4]","[15, 10, 5]",16000,3,0.2
23,24.wav,FAEM0_5.wav,MRDD0_3.wav,MRGM0_3.wav,./data/mixed/24.wav,./data/near_end/FAEM0_5.wav,./data/far_end/MRDD0_3.wav,./data/far_end/MRGM0_3.wav,"[14, 4, 3]","[3, 7, 5]","[9, 3, 5]","[4, 10, 2]","[15, 10, 5]",16000,3,0.2
24,25.wav,FAEM0_5.wav,MTCS0_2.wav,MRJH0_1.wav,./data/mixed/25.wav,./data/near_end/FAEM0_5.wav,./data/far_end/MTCS0_2.wav,./data/far_end/MRJH0_1.wav,"[12, 6, 3]","[11, 10, 2]","[8, 5, 5]","[5, 4, 4]","[15, 10, 5]",16000,3,0.2
25,26.wav,FAJW0_1.wav,MDHS0_1.wav,MTXS0_1.wav,./data/mixed/26.wav,./data/near_end/FAJW0_1.wav,./data/far_end/MDHS0_1.wav,./data/far_end/MTXS0_1.wav,"[8, 4, 2]","[13, 6, 1]","[13, 2, 1]","[3, 5, 5]","[15, 10, 5]",16000,3,0.2
26,27.wav,FAJW0_1.wav,MGAK0_1.wav,MDSS1_1.wav,./data/mixed/27.wav,./data/near_end/FAJW0_1.wav,./data/far_end/MGAK0_1.wav,./data/far_end/MDSS1_1.wav,"[5, 5, 2]","[11, 1, 3]","[4, 1, 1]","[12, 3, 2]","[15, 10, 5]",16000,3,0.2
27,28.wav,FAJW0_1.wav,MFER0_1.wav,FPJF0_1.wav,./data/mixed/28.wav,./data/near_end/FAJW0_1.wav,./data/far_end/MFER0_1.wav,./data/far_end/FPJF0_1.wav,"[1, 10, 5]","[3, 6, 1]","[2, 8, 3]","[5, 1, 1]","[15, 10, 5]",16000,3,0.2
28,29.wav,FAJW0_1.wav,FCAJ0_3.wav,MRML0_4.wav,./data/mixed/29.wav,./data/near_end/FAJW0_1.wav,./data/far_end/FCAJ0_3.wav,./data/far_end/MRML0_4.wav,"[9, 1, 1]","[4, 2, 2]","[9, 9, 5]","[10, 2, 4]","[15, 10, 5]",16000,3,0.2
29,30.wav,FAJW0_1.wav,MJXA0_3.wav,FTAJ0_2.wav,./data/mixed/30.wav,./data/near_end/FAJW0_1.wav,./data/far_end/MJXA0_3.wav,./data/far_end/FTAJ0_2.wav,"[6, 6, 1]","[3, 1, 4]","[6, 2, 1]","[3, 7, 4]","[15, 10, 5]",16000,3,0.2
30,31.wav,FAJW0_2.wav,FEXM0_1.wav,FBMH0_3.wav,./data/mixed/31.wav,./data/near_end/FAJW0_2.wav,./data/far_end/FEXM0_1.wav,./data/far_end/FBMH0_3.wav,"[12, 6, 2]","[13, 5, 2]","[9, 10, 2]","[10, 2, 2]","[15, 10, 5]",16000,3,0.2
31,32.wav,FAJW0_2.wav,MKXL0_3.wav,MRMB0_1.wav,./data/mixed/32.wav,./data/near_end/FAJW0_2.wav,./data/far_end/MKXL0_3.wav,./data/far_end/MRMB0_1.wav,"[6, 3, 4]","[2, 2, 4]","[12, 9, 3]","[14, 9, 2]","[15, 10, 5]",16000,3,0.2
32,33.wav,FAJW0_2.wav,FNTB0_1.wav,MJRH1_3.wav,./data/mixed/33.wav,./data/near_end/FAJW0_2.wav,./data/far_end/FNTB0_1.wav,./data/far_end/MJRH1_3.wav,"[14, 5, 4]","[11, 6, 4]","[8, 6, 4]","[4, 1, 4]","[15, 10, 5]",16000,3,0.2
33,34.wav,FAJW0_2.wav,MRLJ1_3.wav,MDAS0_3.wav,./data/mixed/34.wav,./data/near_end/FAJW0_2.wav,./data/far_end/MRLJ1_3.wav,./data/far_end/MDAS0_3.wav,"[11, 7, 2]","[7, 2, 1]","[14, 10, 5]","[2, 6, 4]","[15, 10, 5]",16000,3,0.2
34,35.wav,FAJW0_2.wav,MTDB0_2.wav,MFRM0_1.wav,./data/mixed/35.wav,./data/near_end/FAJW0_2.wav,./data/far_end/MTDB0_2.wav,./data/far_end/MFRM0_1.wav,"[7, 1, 1]","[6, 7, 1]","[14, 1, 5]","[13, 1, 1]","[15, 10, 5]",16000,3,0.2
35,36.wav,FAJW0_3.wav,FMPG0_4.wav,MMWS1_3.wav,./data/mixed/36.wav,./data/near_end/FAJW0_3.wav,./data/far_end/FMPG0_4.wav,./data/far_end/MMWS1_3.wav,"[2, 9, 1]","[9, 2, 2]","[10, 8, 5]","[6, 2, 1]","[15, 10, 5]",16000,3,0.2
36,37.wav,FAJW0_3.wav,MTCS0_3.wav,FCMG0_2.wav,./data/mixed/37.wav,./data/near_end/FAJW0_3.wav,./data/far_end/MTCS0_3.wav,./data/far_end/FCMG0_2.wav,"[9, 4, 4]","[2, 4, 1]","[7, 6, 5]","[1, 2, 4]","[15, 10, 5]",16000,3,0.2
37,38.wav,FAJW0_3.wav,MRML0_4.wav,MKES0_4.wav,./data/mixed/38.wav,./data/near_end/FAJW0_3.wav,./data/far_end/MRML0_4.wav,./data/far_end/MKES0_4.wav,"[10, 6, 5]","[4, 3, 4]","[7, 2, 5]","[9, 3, 3]","[15, 10, 5]",16000,3,0.2
38,39.wav,FAJW0_3.wav,MMWS1_1.wav,FPAF0_2.wav,./data/mixed/39.wav,./data/near_end/FAJW0_3.wav,./data/far_end/MMWS1_1.wav,./data/far_end/FPAF0_2.wav,"[2, 4, 3]","[14, 5, 5]","[10, 10, 2]","[3, 7, 4]","[15, 10, 5]",16000,3,0.2
39,40.wav,FAJW0_3.wav,MTDB0_3.wav,FPAC0_4.wav,./data/mixed/40.wav,./data/near_end/FAJW0_3.wav,./data/far_end/MTDB0_3.wav,./data/far_end/FPAC0_4.wav,"[13, 7, 3]","[1, 4, 5]","[5, 1, 5]","[3, 1, 2]","[15, 10, 5]",16000,3,0.2
40,41.wav,FAJW0_4.wav,MPRT0_3.wav,MSDS0_1.wav,./data/mixed/41.wav,./data/near_end/FAJW0_4.wav,./data/far_end/MPRT0_3.wav,./data/far_end/MSDS0_1.wav,"[7, 4, 5]","[4, 7, 2]","[11, 8, 3]","[3, 5, 5]","[15, 10, 5]",16000,3,0.2
41,42.wav,FAJW0_4.wav,MSAS0_4.wav,MILB0_3.wav,./data/mixed/42.wav,./data/near_end/FAJW0_4.wav,./data/far_end/MSAS0_4.wav,./data/far_end/MILB0_3.wav,"[9, 8, 4]","[3, 2, 4]","[5, 8, 3]","[7, 9, 5]","[15, 10, 5]",16000,3,0.2
42,43.wav,FAJW0_4.wav,FSAG0_2.wav,MREE0_1.wav,./data/mixed/43.wav,./data/near_end/FAJW0_4.wav,./data/far_end/FSAG0_2.wav,./data/far_end/MREE0_1.wav,"[10, 7, 3]","[11, 3, 1]","[1, 8, 1]","[13, 2, 3]","[15, 10, 5]",16000,3,0.2
43,44.wav,FAJW0_4.wav,MSEM1_4.wav,FLMA0_2.wav,./data/mixed/44.wav,./data/near_end/FAJW0_4.wav,./data/far_end/MSEM1_4.wav,./data/far_end/FLMA0_2.wav,"[10, 3, 1]","[4, 4, 5]","[7, 10, 5]","[5, 7, 4]","[15, 10, 5]",16000,3,0.2
44,45.wav,FAJW0_4.wav,FCRZ0_1.wav,FAEM0_1.wav,./data/mixed/45.wav,./data/near_end/FAJW0_4.wav,./data/far_end/FCRZ0_1.wav,./data/far_end/FAEM0_1.wav,"[13, 9, 5]","[3, 1, 4]","[13, 10, 4]","[6, 7, 5]","[15, 10, 5]",16000,3,0.2
45,46.wav,FAJW0_5.wav,FNKL0_2.wav,MRJM0_1.wav,./data/mixed/46.wav,./data/near_end/FAJW0_5.wav,./data/far_end/FNKL0_2.wav,./data/far_end/MRJM0_1.wav,"[9, 8, 4]","[10, 4, 2]","[6, 4, 3]","[13, 6, 1]","[15, 10, 5]",16000,3,0.2
46,47.wav,FAJW0_5.wav,MHJB0_1.wav,MDKS0_3.wav,./data/mixed/47.wav,./data/near_end/FAJW0_5.wav,./data/far_end/MHJB0_1.wav,./data/far_end/MDKS0_3.wav,"[4, 2, 1]","[12, 5, 3]","[9, 10, 1]","[8, 8, 3]","[15, 10, 5]",16000,3,0.2
47,48.wav,FAJW0_5.wav,FSLS0_3.wav,MRJH0_4.wav,./data/mixed/48.wav,./data/near_end/FAJW0_5.wav,./data/far_end/FSLS0_3.wav,./data/far_end/MRJH0_4.wav,"[14, 4, 3]","[8, 10, 1]","[12, 10, 1]","[13, 8, 3]","[15, 10, 5]",16000,3,0.2
48,49.wav,FAJW0_5.wav,MRAI0_2.wav,MFWK0_1.wav,./data/mixed/49.wav,./data/near_end/FAJW0_5.wav,./data/far_end/MRAI0_2.wav,./data/far_end/MFWK0_1.wav,"[3, 8, 2]","[14, 7, 4]","[7, 2, 5]","[11, 5, 2]","[15, 10, 5]",16000,3,0.2
49,50.wav,FAJW0_5.wav,MAJP0_3.wav,FEME0_3.wav,./data/mixed/50.wav,./data/near_end/FAJW0_5.wav,./data/far_end/MAJP0_3.wav,./data/far_end/FEME0_3.wav,"[7, 9, 4]","[5, 7, 5]","[3, 2, 2]","[3, 2, 5]","[15, 10, 5]",16000,3,0.2
50,51.wav,FALK0_1.wav,FEEH0_2.wav,FECD0_1.wav,./data/mixed/51.wav,./data/near_end/FALK0_1.wav,./data/far_end/FEEH0_2.wav,./data/far_end/FECD0_1.wav,"[13, 9, 3]","[3, 9, 5]","[7, 2, 4]","[14, 3, 2]","[15, 10, 5]",16000,3,0.2
51,52.wav,FALK0_1.wav,FGCS0_3.wav,FPJF0_1.wav,./data/mixed/52.wav,./data/near_end/FALK0_1.wav,./data/far_end/FGCS0_3.wav,./data/far_end/FPJF0_1.wav,"[5, 9, 2]","[12, 7, 4]","[5, 5, 4]","[8, 7, 1]","[15, 10, 5]",16000,3,0.2
52,53.wav,FALK0_1.wav,FPMY0_2.wav,MCLM0_2.wav,./data/mixed/53.wav,./data/near_end/FALK0_1.wav,./data/far_end/FPMY0_2.wav,./data/far_end/MCLM0_2.wav,"[2, 10, 3]","[4, 9, 2]","[9, 8, 2]","[3, 7, 4]","[15, 10, 5]",16000,3,0.2
53,54.wav,FALK0_1.wav,MDED0_4.wav,FSKC0_1.wav,./data/mixed/54.wav,./data/near_end/FALK0_1.wav,./data/far_end/MDED0_4.wav,./data/far_end/FSKC0_1.wav,"[2, 5, 3]","[14, 3, 3]","[7, 8, 5]","[5, 7, 1]","[15, 10, 5]",16000,3,0.2
54,55.wav,FALK0_1.wav,FALK0_3.wav,FCKE0_2.wav,./data/mixed/55.wav,./data/near_end/FALK0_1.wav,./data/far_end/FALK0_3.wav,./data/far_end/FCKE0_2.wav,"[12, 9, 2]","[3, 4, 5]","[11, 10, 2]","[7, 5, 3]","[15, 10, 5]",16000,3,0.2
55,56.wav,FALK0_2.wav,MPRT0_2.wav,MMBS0_2.wav,./data/mixed/56.wav,./data/near_end/FALK0_2.wav,./data/far_end/MPRT0_2.wav,./data/far_end/MMBS0_2.wav,"[9, 4, 5]","[3, 2, 4]","[8, 8, 2]","[10, 10, 5]","[15, 10, 5]",16000,3,0.2
56,57.wav,FALK0_2.wav,FPAD0_4.wav,FJDM2_1.wav,./data/mixed/57.wav,./data/near_end/FALK0_2.wav,./data/far_end/FPAD0_4.wav,./data/far_end/FJDM2_1.wav,"[11, 2, 4]","[13, 4, 1]","[13, 4, 2]","[9, 9, 1]","[15, 10, 5]",16000,3,0.2
57,58.wav,FALK0_2.wav,FLAG0_3.wav,FAPB0_3.wav,./data/mixed/58.wav,./data/near_end/FALK0_2.wav,./data/far_end/FLAG0_3.wav,./data/far_end/FAPB0_3.wav,"[7, 7, 4]","[7, 6, 5]","[13, 10, 2]","[14, 2, 3]","[15, 10, 5]",16000,3,0.2
58,59.wav,FALK0_2.wav,MZMB0_3.wav,MVJH0_1.wav,./data/mixed/59.wav,./data/near_end/FALK0_2.wav,./data/far_end/MZMB0_3.wav,./data/far_end/MVJH0_1.wav,"[6, 6, 2]","[8, 7, 1]","[13, 3, 3]","[6, 10, 1]","[15, 10, 5]",16000,3,0.2
59,60.wav,FALK0_2.wav,MRMS0_3.wav,FGRW0_1.wav,./data/mixed/60.wav,./data/near_end/FALK0_2.wav,./data/far_end/MRMS0_3.wav,./data/far_end/FGRW0_1.wav,"[7, 7, 2]","[1, 3, 3]","[4, 3, 5]","[1, 7, 5]","[15, 10, 5]",16000,3,0.2
60,61.wav,FALK0_3.wav,MCTH0_2.wav,FCMG0_3.wav,./data/mixed/61.wav,./data/near_end/FALK0_3.wav,./data/far_end/MCTH0_2.wav,./data/far_end/FCMG0_3.wav,"[9, 3, 1]","[1, 5, 1]","[8, 4, 3]","[8, 3, 4]","[15, 10, 5]",16000,3,0.2
61,62.wav,FALK0_3.wav,FRJB0_2.wav,MMGC0_3.wav,./data/mixed/62.wav,./data/near_end/FALK0_3.wav,./data/far_end/FRJB0_2.wav,./data/far_end/MMGC0_3.wav,"[14, 9, 3]","[3, 4, 3]","[4, 5, 2]","[13, 5, 2]","[15, 10, 5]",16000,3,0.2
62,63.wav,FALK0_3.wav,MJPM0_3.wav,FRLL0_2.wav,./data/mixed/63.wav,./data/near_end/FALK0_3.wav,./data/far_end/MJPM0_3.wav,./data/far_end/FRLL0_2.wav,"[10, 1, 4]","[7, 3, 4]","[11, 9, 5]","[6, 4, 5]","[15, 10, 5]",16000,3,0.2
63,64.wav,FALK0_3.wav,FDTD0_1.wav,MRAI0_1.wav,./data/mixed/64.wav,./data/near_end/FALK0_3.wav,./data/far_end/FDTD0_1.wav,./data/far_end/MRAI0_1.wav,"[2, 4, 4]","[6, 9, 4]","[1, 3, 2]","[14, 6, 2]","[15, 10, 5]",16000,3,0.2
64,65.wav,FALK0_3.wav,FETB0_1.wav,MTDP0_1.wav,./data/mixed/65.wav,./data/near_end/FALK0_3.wav,./data/far_end/FETB0_1.wav,./data/far_end/MTDP0_1.wav,"[9, 9, 2]","[12, 1, 4]","[13, 2, 3]","[6, 7, 3]","[15, 10, 5]",16000,3,0.2
65,66.wav,FALK0_4.wav,MKAM0_4.wav,MMEA0_3.wav,./data/mixed/66.wav,./data/near_end/FALK0_4.wav,./data/far_end/MKAM0_4.wav,./data/far_end/MMEA0_3.wav,"[5, 1, 4]","[2, 1, 3]","[1, 3, 2]","[2, 5, 2]","[15, 10, 5]",16000,3,0.2
66,67.wav,FALK0_4.wav,FTLG0_4.wav,MAPV0_4.wav,./data/mixed/67.wav,./data/near_end/FALK0_4.wav,./data/far_end/FTLG0_4.wav,./data/far_end/MAPV0_4.wav,"[2, 9, 5]","[3, 8, 4]","[14, 9, 3]","[10, 10, 2]","[15, 10, 5]",16000,3,0.2
67,68.wav,FALK0_4.wav,FSAK0_1.wav,MSDS0_4.wav,./data/mixed/68.wav,./data/near_end/FALK0_4.wav,./data/far_end/FSAK0_1.wav,./data/far_end/MSDS0_4.wav,"[11, 2, 2]","[5, 3, 4]","[7, 3, 3]","[2, 9, 5]","[15, 10, 5]",16000,3,0.2
68,69.wav,FALK0_4.wav,MARW0_2.wav,FMAH1_2.wav,./data/mixed/69.wav,./data/near_end/FALK0_4.wav,./data/far_end/MARW0_2.wav,./data/far_end/FMAH1_2.wav,"[8, 3, 5]","[6, 8, 5]","[8, 1, 5]","[10, 10, 5]","[15, 10, 5]",16000,3,0.2
69,70.wav,FALK0_4.wav,MADC0_3.wav,MMWS1_2.wav,./data/mixed/70.wav,./data/near_end/FALK0_4.wav,./data/far_end/MADC0_3.wav,./data/far_end/MMWS1_2.wav,"[13, 5, 4]","[2, 8, 3]","[9, 5, 1]","[6, 2, 2]","[15, 10, 5]",16000,3,0.2
70,71.wav,FALK0_5.wav,MSRR0_3.wav,MDCD0_2.wav,./data/mixed/71.wav,./data/near_end/FALK0_5.wav,./data/far_end/MSRR0_3.wav,./data/far_end/MDCD0_2.wav,"[12, 6, 1]","[6, 2, 3]","[14, 7, 2]","[14, 4, 2]","[15, 10, 5]",16000,3,0.2
71,72.wav,FALK0_5.wav,MCAL0_1.wav,MBTH0_2.wav,./data/mixed/72.wav,./data/near_end/FALK0_5.wav,./data/far_end/MCAL0_1.wav,./data/far_end/MBTH0_2.wav,"[3, 6, 2]","[12, 8, 5]","[8, 9, 1]","[11, 7, 4]","[15, 10, 5]",16000,3,0.2
72,73.wav,FALK0_5.wav,MMAA0_2.wav,MGAR0_1.wav,./data/mixed/73.wav,./data/near_end/FALK0_5.wav,./data/far_end/MMAA0_2.wav,./data/far_end/MGAR0_1.wav,"[10, 4, 4]","[11, 10, 1]","[3, 1, 3]","[13, 1, 5]","[15, 10, 5]",16000,3,0.2
73,74.wav,FALK0_5.wav,MFXV0_3.wav,MSAT1_3.wav,./data/mixed/74.wav,./data/near_end/FALK0_5.wav,./data/far_end/MFXV0_3.wav,./data/far_end/MSAT1_3.wav,"[14, 1, 4]","[8, 6, 1]","[4, 2, 5]","[7, 8, 1]","[15, 10, 5]",16000,3,0.2
74,75.wav,FALK0_5.wav,FKDE0_4.wav,MDKS0_3.wav,./data/mixed/75.wav,./data/near_end/FALK0_5.wav,./data/far_end/FKDE0_4.wav,./data/far_end/MDKS0_3.wav,"[5, 10, 2]","[6, 7, 4]","[8, 7, 1]","[3, 1, 3]","[15, 10, 5]",16000,3,0.2
75,76.wav,FALR0_1.wav,MFMC0_2.wav,MJPM1_3.wav,./data/mixed/76.wav,./data/near_end/FALR0_1.wav,./data/far_end/MFMC0_2.wav,./data/far_end/MJPM1_3.wav,"[2, 10, 4]","[1, 4, 3]","[4, 2, 1]","[7, 9, 4]","[15, 10, 5]",16000,3,0.2
76,77.wav,FALR0_1.wav,FPAB1_2.wav,MRLJ0_3.wav,./data/mixed/77.wav,./data/near_end/FALR0_1.wav,./data/far_end/FPAB1_2.wav,./data/far_end/MRLJ0_3.wav,"[2, 5, 1]","[1, 2, 3]","[12, 3, 4]","[9, 7, 5]","[15, 10, 5]",16000,3,0.2
77,78.wav,FALR0_1.wav,FTLG0_2.wav,MBMA1_3.wav,./data/mixed/78.wav,./data/near_end/FALR0_1.wav,./data/far_end/FTLG0_2.wav,./data/far_end/MBMA1_3.wav,"[2, 6, 3]","[2, 5, 3]","[11, 4, 2]","[9, 2, 2]","[15, 10, 5]",16000,3,0.2
78,79.wav,FALR0_1.wav,FREH0_3.wav,FLET0_1.wav,./data/mixed/79.wav,./data/near_end/FALR0_1.wav,./data/far_end/FREH0_3.wav,./data/far_end/FLET0_1.wav,"[11, 1, 4]","[7, 2, 5]","[11, 8, 3]","[4, 6, 5]","[15, 10, 5]",16000,3,0.2
79,80.wav,FALR0_1.wav,FEME0_1.wav,FSJG0_2.wav,./data/mixed/80.wav,./data/near_end/FALR0_1.wav,./data/far_end/FEME0_1.wav,./data/far_end/FSJG0_2.wav,"[3, 8, 3]","[13, 8, 5]","[4, 6, 1]","[14, 10, 1]","[15, 10, 5]",16000,3,0.2
80,81.wav,FALR0_2.wav,MSTF0_4.wav,MFMC0_1.wav,./data/mixed/81.wav,./data/near_end/FALR0_2.wav,./data/far_end/MSTF0_4.wav,./data/far_end/MFMC0_1.wav,"[8, 8, 1]","[9, 4, 3]","[7, 6, 4]","[8, 2, 2]","[15, 10, 5]",16000,3,0.2
81,82.wav,FALR0_2.wav,FEAR0_2.wav,FNTB0_2.wav,./data/mixed/82.wav,./data/near_end/FALR0_2.wav,./data/far_end/FEAR0_2.wav,./data/far_end/FNTB0_2.wav,"[9, 7, 4]","[9, 6, 4]","[1, 10, 2]","[6, 8, 1]","[15, 10, 5]",16000,3,0.2
82,83.wav,FALR0_2.wav,MJKR0_2.wav,MCLM0_3.wav,./data/mixed/83.wav,./data/near_end/FALR0_2.wav,./data/far_end/MJKR0_2.wav,./data/far_end/MCLM0_3.wav,"[10, 10, 1]","[2, 10, 1]","[9, 7, 4]","[9, 10, 4]","[15, 10, 5]",16000,3,0.2
